Brewery Name,City,State,Type of Brewery,Type of Distribution,Notes,# Locations,Locations
Johnnie Byrd Brewing Company,Wayne,Nebraska,Micro,On tap at the brewery,Opened Dec 2017; Nebraska's first benefit corporation brewery,1,Wayne
Jukes Ale Works,Elkhorn,Nebraska,Brewpub,,"Opened July 9, 2019",1,Elkhorn
Kinkaider Brewing Company,Broken Bow,Nebraska,Micro,"On tap at the brewery, including crowler fills",,3,Broken Bow / Grand Island / Lincoln
Kros Strain Brewing Company,LaVista,Nebraska,Micro,On tap at the brewery,,1,LaVista
Lazy Horse Brewing & Winery,Ohiowa,Nebraska,Brewpub,On tap at the brewery; Winery,,1,Ohiowa
Loop Brewing Company,McCook,Nebraska,Brewpub,On tap only at the brewery,,1,McCook
Lost Way Brewery,Holdrege,Nebraska,Taproom,,"Opened Thursday, Nov 16",1,Holdrege
Lucky Bucket Brewing Company,LaVista,Nebraska,Micro,"On tap state-wide, bottles",,1,LaVista
Mac's Creek Winery & Brewery,Lexington,Nebraska,Taproom,On tap at the brewery,Brewery opened June 2019,1,Lexington
Monolithic Brewing,Omaha,Nebraska,Brewpub,On-tap at the brewery,"Opened Oct 2020, Formerly Omaha Ale Works",1,Omaha
Nebraska Brewing Company,LaVista,Nebraska,Micro/Brewpub,"On tap state-wide, cans and bottles",Largest production facility in the state; Papillion location closed,1,LaVista
Pals Brewing Company,North Platte,Nebraska,Brewpub,On tap at the brewery,,1,North Platte
Peg Leg Brewing Company,North Platte,Nebraska,Taproom,On-tap at the brewery,Opened April 2020,1,North Platte
Pint Nine Brewing Company,Papillion,Nebraska,Micro,On tap at the brewery,,1,Papillion
Platte Valley Brewery,Kearney,Nebraska,Brewpub,On tap at the brewery only,A few house brews with a bunch of other stuff on tap. Brewed in Columbus.,1,Kearney
Prairie Pride Brewing Company,Grand Island,Nebraska,Taproom,,,1,Grand Island
Roc Hopper Brewing Company,Syracuse,Nebraska,Micro,Distro only,Opened May 2019,1,Syracuse
Schillingbridge Brewing Company,Pawnee City,Nebraska,Brewpub,"On tap at the brewery, 4 styles in bottles",Winery,2,Pawnee City / Lincoln
Scratchtown Brewing Company,Ord,Nebraska,Taproom,"On tap at the brewery, limited bottle distribution, keg distribution coming soon",,1,Ord
Scriptown Brewing Company,Omaha,Nebraska,Taproom,On tap at the brewery and around Omaha,,1,Omaha - Midtown
Site-1 Brewing,Omaha,Nebraska,Micro,On tap at the brewery,Opened Dec 2020,1,Omaha
Soaring Wings Vineyard & Brewing,Springfield,Nebraska,Taproom,,Winery,1,Springfield
Steeple Brewing Co.,Hastings,Nebraska,Taproom,On tap at the brewery,,1,Hastings
Stone Hollow Brewing Company,Beatrice,Nebraska,Taproom,On tap at the brewery,Opened March 2019,1,Beatrice
Thunderhead Brewing Company,Kearney,Nebraska,Taproom,"On tap state-wide, cans",,4,Kearney / Omaha - West / Omaha - Downtown / Axtell
Upper Room Brewery,Kearney,Nebraska,Micro,On tap at the brewery,Opened Jan 2021,1,Kearney
Upstream Brewing Company,Omaha,Nebraska,Brewpub,"On tap in Omaha, limited bottles",4-5 rotating seasonals and 8 house beers. Omaha - West location closed,1,Omaha - Downtown
Vis Major Brewing Company,Omaha,Nebraska,Brewpub,On tap at the brewery,,1,Omaha
White Elm Brewing Company,Lincoln,Nebraska,Micro,On tap at the brewery,,2,Lincoln / Lincoln - Haymarket
Zipline Brewing Co.,Lincoln,Nebraska,Micro,"On tap state-wide, bottles",Beer Hall added 2016,4,Lincoln - West / Lincoln - SE (Beer Hall) / Omaha - West (Beer Lounge) / Omaha - Downtown (Culture Lab)
